"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_symbol","ensembl_id","feature_num"
0,3.90747617462526,0.906,0.129,0,"10","Feature16091","S100a6",NA,16091
0,3.33814913779855,0.825,0.117,0,"10","Feature11190","Mlc1",NA,11190
0,4.61511295775104,0.674,0.034,0,"10","Feature4159","Col23a1",NA,4159
0,4.38923511814355,0.665,0.059,0,"10","Feature18343","Thrsp",NA,18343
0,3.03260265925499,0.656,0.057,0,"10","Feature5388","Dynlrb2",NA,5388
0,4.79530886796006,0.495,0.025,0,"10","Feature9294","Kctd14",NA,9294
0,5.38834840132195,0.45,0.013,0,"10","Feature15393","Rax",NA,15393
0,4.1354275936224,0.39,0.022,0,"10","Feature4396","Crym",NA,4396
2.59935309295413e-289,3.39711928604204,0.837,0.144,4.0235386525837e-285,"10","Feature8301","Hes1",NA,8301
1.40258589936496e-268,2.89214647683487,0.767,0.119,2.17106271362702e-264,"10","Feature17392","Sox9",NA,17392
2.23483780815732e-232,4.08393139777809,0.308,0.02,3.45930544324671e-228,"10","Feature6306","Fgl2",NA,6306
3.63457944545651e-221,3.55638010034149,0.659,0.113,5.62596552362212e-217,"10","Feature16708","Slc16a2",NA,16708
5.74428592240352e-220,3.35132465993733,0.979,0.389,8.89158017928841e-216,"10","Feature14754","Prdx6",NA,14754
2.93152133664465e-214,3.61394329231372,0.994,0.537,4.53770187699225e-210,"10","Feature12081","Nnat",NA,12081
8.92650395882332e-214,4.16412805638396,0.29,0.019,1.38173354778626e-209,"10","Feature6490","Frzb",NA,6490
3.39396738199373e-211,2.71559429468205,0.731,0.137,5.2535221105881e-207,"10","Feature6537","Fxyd1",NA,6537
5.57528810345944e-209,3.04760690166669,0.927,0.313,8.62998845534486e-205,"10","Feature12281","Ntrk2",NA,12281
4.32622718950793e-207,4.01939183347472,0.378,0.036,6.69656706663933e-203,"10","Feature17050","Slit2",NA,17050
6.07844126936262e-207,3.73922102259713,0.36,0.031,9.40881924084641e-203,"10","Feature6377","Fmo1",NA,6377
3.47360223299402e-205,4.32028993998381,0.302,0.022,5.37678889645145e-201,"10","Feature9814","Lhx2",NA,9814
2.2241053268363e-195,2.83847893765503,0.825,0.213,3.44269263540991e-191,"10","Feature18630","Tmem47",NA,18630
3.87775001434307e-194,2.87203419834828,0.517,0.07,6.00236924720164e-190,"10","Feature5697","Enkur",NA,5697
5.56339649545656e-188,3.9886406473124,0.263,0.018,8.61158143531721e-184,"10","Feature11895","Nek5",NA,11895
7.70745909056504e-168,2.1302244228215,0.773,0.176,1.19303759262856e-163,"10","Feature19609","Vim",NA,19609
6.82555299331785e-167,3.49478280067794,0.299,0.027,1.05652734783567e-162,"10","Feature2064","Apoc1",NA,2064
2.32110399692814e-165,4.26746404315357,0.266,0.021,3.59283687684507e-161,"10","Feature16024","Rspo3",NA,16024
2.55623168326549e-165,2.84084722288731,0.429,0.056,3.95679102252665e-161,"10","Feature11249","Mns1",NA,11249
7.61815771091835e-161,2.44047917359169,1,0.869,1.17921463207305e-156,"10","Feature4447","Cst3",NA,4447
1.19776008754249e-160,2.54345443630595,0.532,0.087,1.85401283950701e-156,"10","Feature10545","Mgst1",NA,10545
